sample_id,doc_id,sentence,institution,title,sector_raw,actor_type,url,amr_penman
s010,71,There is no need to replicate the traditional court system which is not conducive to fairness and access to justice.,Council of Europe (CDCJ),Technical study on online dispute resolution mechanisms,international organisation > IGO,organisation internationale,https://rm.coe.int/cdcj-2018-5e-technical-study-odr/1680913249,"# ::id s010
# ::doc_id 71
# ::snt There is no need to replicate the traditional court system which is not conducive to fairness and access to justice.
(n / need-01
   :polarity -
   :ARG1 (r / replicate-01
            :ARG1 (s / system
                     :mod (c / court)
                     :mod (t / traditional)
                     :ARG1-of (c2 / conducive-01
                                  :polarity -
                                  :ARG2 (a / and
                                           :op1 (f / fairness)
                                           :op2 (a2 / access-01
                                                    :ARG1 (j / justice)))))))"
s011,70,"48 Sandra Wachter, Brent Mittelstadt & Chris Russell, Why fairness cannot be automated: B ridging the gap between EU non -discrimination law and AI , 41 COMPUTER LAW & SECURITY REVIEW 105567 (2021); Sandra Wachter, Brent Mittelstadt & Chris Russell, Bias preservation in machine learning: the legality of fairness metrics under EU non -discriminatio n law , 123 W.",Council of Europe (CDBIO),The impact of Artificial Intelligence on the Doctor-Patient Relationship,international organisation > IGO,organisation internationale,https://rm.coe.int/inf-2022-5-report-impact-of-ai-on-doctor-patient-relations-e/1680a68859,"# ::id s011
# ::doc_id 70
# ::snt 48 Sandra Wachter, Brent Mittelstadt & Chris Russell, Why fairness cannot be automated: B ridging the gap between EU non -discrimination law and AI , 41 COMPUTER LAW & SECURITY REVIEW 105567 (2021); Sandra Wachter, Brent Mittelstadt & Chris Russell, Bias preservation in machine learning: the legality of fairness metrics under EU non -discriminatio n law , 123 W.
(p / publication-91
   :li 48
   :ARG0 (a / and
            :op1 (p2 / person
                     :name (n / name
                              :op1 ""Sandra""
                              :op2 ""Wachter""))
            :op2 (p3 / person
                     :name (n2 / name
                               :op1 ""Brent""
                               :op2 ""Mittelstadt""))
            :op3 (p4 / person
                     :name (n3 / name
                               :op1 ""Chris""
                               :op2 ""Russell"")))
   :ARG1 (p5 / publication
             :name (n4 / name
                       :op1 ""Why""
                       :op2 ""Could""
                       :op3 ""Not""
                       :op4 ""Be""
                       :op5 ""Automated""
                       :op6 ""Why""
                       :op7 ""Brenge""
                       :op8 ""the""
                       :op9 ""Gap""
                       :op10 ""between""
                       :op11 ""EU""
                       :op12 ""Non-Discrimination""
                       :op13 ""Law"")
             :ARG0-of (r / rid-01
                         :ARG1 (t / technology
                                  :mod (a2 / artificial))))
   :ARG4 (p6 / publication
             :name (n5 / name
                       :op1 ""41""
                       :op2 "" COMPUTER""
                       :op3 ""Law""
                       :op4 ""&""
                       :op5 ""Security""
                       :op6 ""Review"")
             :time (d / date-entity
                      :year 2021))
   :ARG4 (p7 / publication
             :name (n6 / name
                       :op1 ""Bias""
                       :op2 ""Preservation""
                       :op3 ""in""
                       :op4 ""Machine""
                       :op5 ""Learning"")
             :ARG1-of (m / mean-01
                         :ARG2 (l / legal-02
                                  :ARG1 (m2 / metric
                                            :mod (f / fairness)
                                            :prep-under (l2 / law
                                                            :mod (o / organization
                                                                    :name (n7 / name
                                                                              :op1 ""EU""))
                                                            :ARG0-of (d2 / discriminate-02
                                                                         :polarity -)))))
             :ARG4 (j / journal
                      :name (n8 / name
                                :op1 123
                                :op2 ""W""))))"
s012,160,"Fairness orients action towards just outcomes, but it has to respect existing social constraints.",European Parliament,A governance framework for algorithmic accountability and transparency,international organisation > EU institution,organisation internationale,http://www.europarl.europa.eu/RegData/etudes/STUD/2019/624262/EPRS_STU(2019)624262_EN.pdf,"# ::id s012
# ::doc_id 160
# ::snt Fairness orients action towards just outcomes, but it has to respect existing social constraints.
(o / orient-01
   :ARG0 (f / fairness)
   :ARG1 (a / act-02)
   :ARG2 (o2 / outcome
             :mod (j / just))
   :concession-of (o3 / obligate-01
                      :ARG1 f
                      :ARG2 (r / respect-01
                               :ARG0 f
                               :ARG1 (c / constrain-01
                                        :ARG1 (s / society)
                                        :ARG1-of (e / exist-01)))))"
s013,216,"These include explainability standards, approaches to appraising fairness, safety considerations, requirements for human-AI collaboration, and general liability frameworks.",Google,Perspectives on Issues in AI Governance,private sector,secteur prive,https://ai.google/static/documents/perspectives-on-issues-in-ai-governance.pdf,"# ::id s013
# ::doc_id 216
# ::snt These include explainability standards, approaches to appraising fairness, safety considerations, requirements for human-AI collaboration, and general liability frameworks.
(ii / include-01
    :ARG1 (a / and
             :op1 (s / standard
                     :mod (e / explain-01
                             :ARG1-of (p / possible-01)))
             :op2 (a2 / approach-02
                      :ARG1 (a3 / appraise-01
                                :ARG1 (f / fairness)))
             :op3 (c / consider-02
                     :ARG1 (s2 / safe-01))
             :op4 (r / require-01
                     :ARG1 (c2 / collaborate-01
                               :ARG0 (h / human)
                               :ARG1 (m / machine
                                        :ARG1-of (ii2 / intelligent-01
                                                      :mod (a4 / artificial)))))
             :op5 (f2 / framework
                      :mod (l / liable-01
                              :ARG1-of (g / general-02))))
    :ARG2 (t / this))"
s014,429,"5 How to Prevent Discriminatory Outcomes in Machine LearningDrawing on existing work, we propose four central principles to combat bias in machine learning and uphold human rights and dignity: Active Inclusion Fairness Right to Understanding Access to Remedy – Active Inclusion: The development and design of ML applications must actively seek a diversity of input, especially of the norms and values of specific populations affected by the output of AI systems.",World Economic Forum (WEF),How to prevent Discriminatory Outcomes in Machine Learning,civil society > NGO,societe civile,http://www3.weforum.org/docs/WEF_40065_White_Paper_How_to_Prevent_Discriminatory_Outcomes_in_Machine_Learning.pdf,"# ::id s014
# ::doc_id 429
# ::snt 5 How to Prevent Discriminatory Outcomes in Machine LearningDrawing on existing work, we propose four central principles to combat bias in machine learning and uphold human rights and dignity: Active Inclusion Fairness Right to Understanding Access to Remedy – Active Inclusion: The development and design of ML applications must actively seek a diversity of input, especially of the norms and values of specific populations affected by the output of AI systems.
(p / propose-01
   :li 5
   :ARG0 (w / we)
   :ARG1 (p2 / principle
             :quant 4
             :mod (c / central)
             :ARG2-of (ii / include-91
                          :ARG1 (a / and
                                   :op1 (r / right-05
                                           :mod (f / fairness)
                                           :mod (a2 / active))
                                   :op2 (r2 / right-05
                                            :ARG2 (u / understand-01
                                                     :ARG1 (a3 / access-01
                                                               :ARG1 (r3 / remedy-01))))
                                   :op3 (ii2 / include-91
                                             :ARG1 (o / obligate-01
                                                      :ARG1 (a4 / and
                                                                :op1 (d / develop-02
                                                                        :ARG1 (a5 / application
                                                                                  :mod (m / machine)))
                                                                :op2 (d2 / design-01
                                                                         :ARG1 a5))
                                                      :ARG2 (s / seek-01
                                                               :ARG0 a4
                                                               :ARG1 (ii3 / input
                                                                          :mod (d3 / diversity)
                                                                          :ARG2-of (ii4 / include-91
                                                                                        :ARG1 (a6 / and
                                                                                                  :op1 (n / norm)
                                                                                                  :op2 (v / value)
                                                                                                  :poss (p3 / population
                                                                                                            :ARG1-of (a7 / affect-01
                                                                                                                         :ARG0 (o2 / output
                                                                                                                                   :mod (s2 / system
                                                                                                                                            :mod (m2 / machine)
                                                                                                                                            :mod (ii5 / intelligent-01)))))
                                                                                                  :mod (e / especially))))
                                                               :ARG1-of (a8 / activity-06))))))
             :purpose (a9 / and
                          :op1 (c2 / combat-01
                                   :ARG0 p2
                                   :ARG1 (b / bias-01
                                            :ARG1 (l / learn-01
                                                     :mod (m3 / machine))))
                          :op2 (u2 / uphold-01
                                   :ARG0 p2
                                   :ARG1 (a10 / and
                                              :op1 (r4 / right-05
                                                       :ARG1 (h / human))
                                              :op2 (d4 / dignity
                                                       :poss h)))))
   :ARG2-of (d5 / draw-02
                :ARG0 w
                :ARG1 (w2 / work-01
                          :ARG1-of (e2 / exist-01))))"
s015,435,"One of these key principles is “Fairness and Non-Discrimination,” and specifically, OMB advised agencies to consider “whether the AI application at issue may reduce levels of unlawful, unfair, or otherwise unintended discrimination as compared to existing processes.” See Memorandum from Russell T.",Yale Law School,Algorithms and Economic Justice: A Taxonomy of Harms and a Path Forward for the Federal Trade Commission,academia,academique,https://yjolt.org/sites/default/files/23_yale_j.l._tech._special_issue_1.pdf,"# ::id s015
# ::doc_id 435
# ::snt One of these key principles is “Fairness and Non-Discrimination,” and specifically, OMB advised agencies to consider “whether the AI application at issue may reduce levels of unlawful, unfair, or otherwise unintended discrimination as compared to existing processes.” See Memorandum from Russell T.
(m / multi-sentence
   :snt1 (a / and
            :op1 (ii / include-91
                     :ARG1 (p / principle
                              :name (n / name
                                       :op1 ""Fairness""
                                       :op2 ""and""
                                       :op3 ""Discrimination""))
                     :ARG2 (p2 / principle
                               :ARG1-of (k / key-02)
                               :mod (t / this))
                     :ARG3 (o / one))
            :op2 (a2 / advise-01
                     :ARG0 (g / government-organization
                              :name (n2 / name
                                        :op1 ""OMB""))
                     :ARG1 (a3 / agency)
                     :ARG2 (c / consider-02
                              :ARG0 a3
                              :ARG1 (t2 / truth-value
                                        :polarity-of (p3 / possible-01
                                                         :ARG1 (r / reduce-01
                                                                  :ARG0 (a4 / apply-02
                                                                            :ARG1 (ii2 / intelligent-01
                                                                                       :mod (a5 / artificial))
                                                                            :ARG1-of (ii3 / issue-02))
                                                                  :ARG1 (l / level
                                                                           :quant-of (d / discriminate-02
                                                                                        :mod (l2 / law
                                                                                                 :polarity -)
                                                                                        :ARG1-of (f / fair-01
                                                                                                    :polarity -)
                                                                                        :ARG1-of (ii4 / intend-01
                                                                                                      :polarity -
                                                                                                      :ARG1-of (e / except-01
                                                                                                                  :ARG2 d)))
                                                                           :ARG1-of (c2 / compare-01
                                                                                        :ARG2 (p4 / process-02
                                                                                                  :ARG1-of (e2 / exist-01))))))))
                     :ARG1-of (s / specific-02)))
   :snt2 (s2 / see-01
             :mode imperative
             :ARG0 (y / you)
             :ARG1 (m2 / memorandum
                       :source (p5 / person
                                   :name (n3 / name
                                             :op1 ""Russell""
                                             :op2 ""T.""
                                             :op3 ""Buchanan"")))))"
s016,351,Positive Predictive Value Parity Group Fairness An outcome is fair if the rates of positive predictive value (the fraction of correctly predicted positive cases out of all predicted positive cases) are equal across sensitive and advantaged groups.,The Alan Turing Institute,Understanding Artificial Intelligence and Safety - A guide for the responsible design and implementation of AI systems in the public sector,"national authority, academia",autorite nationale,https://www.turing.ac.uk/sites/default/files/2019-06/understanding_artificial_intelligence_ethics_and_safety.pdf,"# ::id s016
# ::doc_id 351
# ::snt Positive Predictive Value Parity Group Fairness An outcome is fair if the rates of positive predictive value (the fraction of correctly predicted positive cases out of all predicted positive cases) are equal across sensitive and advantaged groups.
(m / multi-sentence
   :snt1 (f / fairness
            :mod (p / positive)
            :ARG1-of (p2 / predict-01)
            :mod (p3 / parity))
   :snt2 (f2 / fair-01
             :ARG1 (o / outcome)
             :condition (e / equal-01
                           :ARG1 (r / rate
                                    :mod (v / value
                                            :mod (p4 / positive)
                                            :ARG1-of (p5 / predict-01)
                                            :ARG1-of (m2 / mean-01
                                                         :ARG2 (f3 / fraction
                                                                   :ARG1-of (ii / include-91
                                                                                :ARG2 (c / case-04
                                                                                         :mod (p6 / positive)
                                                                                         :ARG1-of (p7 / predict-01
                                                                                                      :ARG1-of (c2 / correct-02))
                                                                                         :mod (a / all)))))))
                           :ARG3 (g / group
                                    :ARG0-of (s / sensitive-03)
                                    :ARG1-of (a2 / advantage-01)))))"
s017,212,"It is important to note that the principle of fairness in data protection law has been traditionally one of the least explored by literature and case-law, often being conflated with the principles of transparency.",Future of Privacy Forum,Automated Decision-Making Under the GDPR: Practical Cases from Courts and Data Protection Authorities,civil society > other,societe civile,https://fpf.org/wp-content/uploads/2022/05/FPF-ADM-Report-R2-singles.pdf,"# ::id s017
# ::doc_id 212
# ::snt It is important to note that the principle of fairness in data protection law has been traditionally one of the least explored by literature and case-law, often being conflated with the principles of transparency.
(ii / important-01
    :ARG1 (n / note-01
             :ARG1 (h / have-degree-91
                      :ARG1 (p / principle
                               :topic (f / fairness
                                         :location (l / law
                                                      :topic (p2 / protect-01
                                                                 :ARG1 (d / data)))))
                      :ARG2 (e / explore-01
                               :ARG0 (a / and
                                        :op1 (l2 / literature)
                                        :op2 (l3 / law
                                                 :mod (c / case-03)))
                               :ARG1 p
                               :mod (t / tradition))
                      :ARG3 (l4 / least))
             :ARG1-of (c2 / cause-01
                          :ARG0 (c3 / conflate-01
                                    :ARG1 p
                                    :ARG2 (p3 / principle
                                              :topic (t2 / transparency))
                                    :frequency (o / often)))))"
s018,435,"71 See Elisa Jillson, Aiming for Truth, Fairness, and Equity in Your Company’s Use of AI, FTC BUS.",Yale Law School,Algorithms and Economic Justice: A Taxonomy of Harms and a Path Forward for the Federal Trade Commission,academia,academique,https://yjolt.org/sites/default/files/23_yale_j.l._tech._special_issue_1.pdf,"# ::id s018
# ::doc_id 435
# ::snt 71 See Elisa Jillson, Aiming for Truth, Fairness, and Equity in Your Company’s Use of AI, FTC BUS.
(s / see-01
   :li 71
   :ARG0 (y / you)
   :ARG1 (p / publication-91
            :ARG0 (p2 / person
                      :name (n / name
                               :op1 ""Elisa""
                               :op2 ""Jillson""))
            :ARG1 (p3 / publication
                      :name (n2 / name
                                :op1 ""Aiming""
                                :op2 ""for""
                                :op3 ""Truth""
                                :op4 ""Fairness""
                                :op5 ""and""
                                :op6 ""Equity"")
                      :topic (u / use-01
                                :ARG0 (c / company
                                         :poss y)
                                :ARG1 (t / technology
                                         :name (n3 / name
                                                   :op1 ""AI""))))
            :ARG4 (p4 / publication
                      :name (n4 / name
                                :op1 ""FTC""
                                :op2 ""Bus""))))"
s019,52,The uncertainty in this area is both a risk to fairness and a constraint on innovation.,Centre for Data Ethics and Innovation,Review into Bias in Algorithmic Decision-making,national authority,autorite nationale,https://assets.publishing.service.gov.uk/media/60142096d3bf7f70ba377b20/Review_into_bias_in_algorithmic_decision-making.pdf,"# ::id s019
# ::doc_id 52
# ::snt The uncertainty in this area is both a risk to fairness and a constraint on innovation.
(a / and
   :op1 (r / risk-01
           :ARG0 (c / certainty
                    :polarity -
                    :location (a2 / area
                                  :mod (t / this)))
           :ARG2 (f / fairness))
   :op2 (c2 / constrain-01
            :ARG0 c
            :ARG1 (ii / innovate-01)))"
