sample_id,doc_id,sentence,ntok,actor_type
s080,8,"Fujitsu, as part of its focus on human-centric ICT, has outlined principles for human-centric AI, which mention that the company “will seek trustworthy AI through considering fairness and safety to prevent discrimination and harm”.",36,civil society
s081,52,"Algorithmic decision-making will inevitably increase over time; the aim should be to ensure that this happens in a way that acts to challenge bias, increase fairness and promote equality, rather than entrenching existing problems.",35,national authority
s082,212,"For instance, in one of the most recent cases enshrined in the Report, the Dutch DPA found that the algorithmic system used by the government to automatically detect fraud in social benefits requests breached the principle of fairness, since the processing was considered “discriminatory” for having taken into account the dual nationality of the people requesting childcare benefits.",58,civil society
s083,17,This does not mean that such metrics are not useful: observational criteria may help understanding around 26 whether datasets and AI systems meet various notions of fairness and bias and subsequently help inform a richer discussion about the goals one hopes to achieve when deploying AI systems in complex social contexts.,51,civil society
s084,351,"Considering fairness aware design and implementation from a workflow perspective will allow you, as a team, to concretis e and make explicit end -to-end paths of accountability in a clear and peer -reviewable manner.",35,national authority
s085,351,These challenges of fairness aware design at the problem formulation stage show the need for making diversity and inclusive participation a priority from the start of the AI project lifecycle .,30,national authority
s086,351,"The FAST Track Principles : Fairness, Accountability, Sustainability, and Transparency By becoming well -acquainted with the FA ST Track Principles, all members of your project delivery team will be better able to support a responsible environment for data innovation.",38,national authority
s087,351,"Typically, AI project delivery workflows include department and delivery leads, technical Discriminatory Non -Harm Self-Assessment Step 1: Identify the fairness and bias mitigation dimensions that apply to the specific stage under consideration (for example, at the data pre -processing stage , dimensions of data fairness , design fa irness, and outcome fairness may be at issue).",55,national authority
s088,417,"States and their constituencies may have different preferences regarding tradeoffs between fairness and accuracy, or privacy and productivity, which may not be easily addressed at the EU level.",28,academia
s089,201,"It must be possible either to speak of fairness of algorithms in the strict sense (but does this actually mean anything?), or to ensure that the algorithm will not behave in an undesirable way, even though we are not fully able to explain in principle what we mean by “undesirable”.",50,
s090,6,"Considering ethical concepts such as justice, fairness, transparency, and accountability allows for valuable debate about the societal impacts of AI, and the role of AI in our lives.52 There is also an academic research community devoted to addressing ethical issues.53 Ethics have helped those researching and developing AI to define boundaries for themselves.",55,civil society
s091,187,"The fact that a decision procedure is automated (or partly automated) may also encourage public discussion about the criteria used by the system, the underlying logic and the expectations of society in this respec t, in particular in terms of fairness or non -discrimination.",44,civil society
s092,187,"ORCAA reviews algorithms using an ' ethical matrix ' including criteria such as ' accuracy, consistency, bias, transpare ncy, fairness and timeliness '.235 8.6.",22,civil society
s093,187,"In a nutshell, fairness adds an extra constraint to the learning algorithm.",12,civil society
s094,160,Beyond distributive fairness in algorithm ic decision -making: Feature selection for procedurally fair learning.,14,international organisation
s095,110,"In regulatory matters, a system’s autonomy raises unique questions around liability, assurance, and fairness as well as risk and safety - and even ownership of creative content[footnote 3] - in a way which is distinct to AI, and these questions increase with the relative complexity of the algorithm.",48,
s096,192,"Furthermore, XAI helps to determin e a model’s precision, fairness, transparency, and results in AI based decision making (101).",20,international organisation
s097,212,"Our research shows that even in those cases where Courts and DPAs decided that the ADM at issue does not fall under Article 22 GDPR since it does not meet the required criteria, they have still enforced other relevant provisions of the GDPR, such as the principles of transparency, fairness, data minimization, purpose limitation, and other provisions.",57,civil society
s098,227,"Examples of such issues are data responsibility and privacy, fairness, inclusion, moral agency, value alignment, accountability, transparency, trust, and technology misuse.",21,private sector
s099,187,There is therefore generally a trade- off between fairness and accuracy.,11,civil society
